cell_id	guide	num_guides	gene
HCC44	KIF11-1	4	KIF11
A549	KIF11-2	4	KIF11
ES2	KIF11-2	4	KIF11
HCC44	KIF11-2	4	KIF11
A549	KRAS-1	4	KRAS
ES2	KRAS-1	4	KRAS
HCC44	KRAS-1	4	KRAS
A549	KRAS-2A	4	KRAS
ES2	KRAS-2A	4	KRAS
HCC44	KRAS-2A	4	KRAS
A549	KRAS-2B	4	KRAS
ES2	KRAS-2B	4	KRAS
HCC44	KRAS-2B	4	KRAS
A549	MAP4K1_ACTN4	4	MAP4K1_ACTN4
A549	MAPK1-1	4	MAPK1
ES2	MAPK1-1	4	MAPK1
HCC44	MAPK1-1	4	MAPK1
A549	MAPK1-2	4	MAPK1
ES2	MAPK1-2	4	MAPK1
HCC44	MAPK1-2	4	MAPK1
A549	MCL1-2	4	MCL1
ES2	MCL1-2	4	MCL1
HCC44	MCL1-2	4	MCL1
A549	MCL1-5	4	MCL1
ES2	MCL1-5	4	MCL1
HCC44	MCL1-5	4	MCL1
A549	MTOR-1	4	MTOR
ES2	MTOR-1	4	MTOR
HCC44	MTOR-1	4	MTOR
A549	MTOR-2	4	MTOR
ES2	MTOR-2	4	MTOR
HCC44	MTOR-2	4	MTOR
A549	MYC-1	4	MYC
ES2	MYC-1	4	MYC
HCC44	MYC-1	4	MYC
A549	MYC-2	4	MYC
ES2	MYC-2	4	MYC
HCC44	MYC-2	4	MYC
A549	PIK3CA-1	4	PIK3CA
ES2	PIK3CA-1	4	PIK3CA
HCC44	PIK3CA-1	4	PIK3CA
A549	PIK3CA-2	4	PIK3CA
ES2	PIK3CA-2	4	PIK3CA
HCC44	PIK3CA-2	4	PIK3CA
A549	PRDX1-1	4	PRDX1
ES2	PRDX1-1	4	PRDX1
HCC44	PRDX1-1	4	PRDX1
A549	PRDX1-2	4	PRDX1
ES2	PRDX1-2	4	PRDX1
HCC44	PRDX1-2	4	PRDX1
A549	PTK2-1	4	PTK2
ES2	PTK2-1	4	PTK2
HCC44	PTK2-1	4	PTK2
A549	PTK2-2	4	PTK2
ES2	PTK2-2	4	PTK2
HCC44	PTK2-2	4	PTK2
A549	RAC1-1	4	RAC1
ES2	RAC1-1	4	RAC1
HCC44	RAC1-1	4	RAC1
A549	RAC1-2	4	RAC1
ES2	RAC1-2	4	RAC1
HCC44	RAC1-2	4	RAC1
A549	RAF1-1	4	RAF1
ES2	RAF1-1	4	RAF1
HCC44	RAF1-1	4	RAF1
A549	RAF1-2	4	RAF1
ES2	RAF1-2	4	RAF1
HCC44	RAF1-2	4	RAF1
A549	RHOA-1	4	RHOA
ES2	RHOA-1	4	RHOA
HCC44	RHOA-1	4	RHOA
A549	RHOA-2	4	RHOA
ES2	RHOA-2	4	RHOA
HCC44	RHOA-2	4	RHOA
A549	SDHB-1	4	SDHB
ES2	SDHB-1	4	SDHB
HCC44	SDHB-1	4	SDHB
A549	SDHB-2	4	SDHB
ES2	SDHB-2	4	SDHB
HCC44	SDHB-2	4	SDHB
A549	SLC2A1-1	4	SLC2A1
ES2	SLC2A1-1	4	SLC2A1
HCC44	SLC2A1-1	4	SLC2A1
A549	SLC2A2-2	4	SLC2A2
ES2	SLC2A2-2	4	SLC2A2
HCC44	SLC2A2-2	4	SLC2A2
A549	SMARCB1-1	4	SMARCB1
ES2	SMARCB1-1	4	SMARCB1
HCC44	SMARCB1-1	4	SMARCB1
A549	SMARCB1-2	4	SMARCB1
ES2	SMARCB1-2	4	SMARCB1
HCC44	SMARCB1-2	4	SMARCB1
A549	STAT3-1	4	STAT3
ES2	STAT3-1	4	STAT3
HCC44	STAT3-1	4	STAT3
A549	STAT3-2	4	STAT3
ES2	STAT3-2	4	STAT3
HCC44	STAT3-2	4	STAT3
A549	SUZ12-1	4	SUZ12
ES2	SUZ12-1	4	SUZ12
HCC44	SUZ12-1	4	SUZ12
A549	SUZ12-2	4	SUZ12
ES2	SUZ12-2	4	SUZ12
HCC44	SUZ12-2	4	SUZ12
A549	TXN-1	4	TXN
ES2	TXN-1	4	TXN
HCC44	TXN-1	4	TXN
A549	TXN-2	4	TXN
ES2	TXN-2	4	TXN
HCC44	TXN-2	4	TXN
A549	Tsai_HEK293_4	4	Tsai_HEK293_4
A549	Tsai_VEGFA-1	4	Tsai_VEGFA
A549	Tsai_VEGFA_2	4	Tsai_VEGFA_2
A549	Wang_K562_22_Nongenic-1	4	Wang_K562_22_Nongenic
A549	Wang_K562_22_Nongenic-2	4	Wang_K562_22_Nongenic
A549	XBP-1	4	XBP
ES2	XBP-1	4	XBP
HCC44	XBP-1	4	XBP
A549	XBP-2	4	XBP
ES2	XBP-2	4	XBP
HCC44	XBP-2	4	XBP
A549	YAP1-1	4	YAP1
ES2	YAP1-1	4	YAP1
HCC44	YAP1-1	4	YAP1
A549	YAP1-2	4	YAP1
ES2	YAP1-2	4	YAP1
HCC44	YAP1-2	4	YAP1
A549	Luc-2	6	Luc
ES2	Luc-2	6	Luc
HCC44	Luc-2	6	Luc
A549	LacZ-2	8	LacZ
ES2	LacZ-2	8	LacZ
HCC44	LacZ-2	8	LacZ
A549	LacZ-3	8	LacZ
ES2	LacZ-3	8	LacZ
HCC44	LacZ-3	8	LacZ
A549	Luc-1	10	Luc
ES2	Luc-1	10	Luc
HCC44	Luc-1	10	Luc
A549	Chr2-1	16	Chr2
ES2	Chr2-1	16	Chr2
HCC44	Chr2-1	16	Chr2
A549	Chr2-2	16	Chr2
ES2	Chr2-2	16	Chr2
HCC44	Chr2-2	16	Chr2
A549	Chr2-3	16	Chr2
ES2	Chr2-3	16	Chr2
HCC44	Chr2-3	16	Chr2
A549	Chr2-4	16	Chr2
ES2	Chr2-4	16	Chr2
HCC44	Chr2-4	16	Chr2
A549	Chr2-5	16	Chr2
ES2	Chr2-5	16	Chr2
HCC44	Chr2-5	16	Chr2
A549	Chr2-6	16	Chr2
ES2	Chr2-6	16	Chr2
HCC44	Chr2-6	16	Chr2
A549	ORC4-1	16	ORC4
ES2	ORC4-1	16	ORC4
HCC44	ORC4-1	16	ORC4
A549	ORC4-2	16	ORC4
ES2	ORC4-2	16	ORC4
HCC44	ORC4-2	16	ORC4
A549	POLR2D-1	16	POLR2D
ES2	POLR2D-1	16	POLR2D
HCC44	POLR2D-1	16	POLR2D
A549	POLR2D-2	16	POLR2D
ES2	POLR2D-2	16	POLR2D
HCC44	POLR2D-2	16	POLR2D
A549	PPIB-1	16	PPIB
ES2	PPIB-1	16	PPIB
HCC44	PPIB-1	16	PPIB
A549	PPIB-2	16	PPIB
ES2	PPIB-2	16	PPIB
HCC44	PPIB-2	16	PPIB
A549	PSMA1-1	16	PSMA1
ES2	PSMA1-1	16	PSMA1
HCC44	PSMA1-1	16	PSMA1
A549	PSMA1-2	16	PSMA1
ES2	PSMA1-2	16	PSMA1
HCC44	PSMA1-2	16	PSMA1
A549	EMPTY	83	EMPTY
ES2	EMPTY	111	EMPTY
HCC44	EMPTY	112	EMPTY
